seed,noise_model,leads,D_logdet,n_precordial,rank
42,empirical_sigma_inv,V3+V4+V6,167.67212125830847,3,21
42,empirical_sigma_inv,V3+V5+V6,165.69643915618911,3,24
42,empirical_sigma_inv,V4+V5+V6,153.86214239529903,3,43
42,empirical_sigma_inv_norm8,I+II+V1,121.35508317506422,1,53
42,empirical_sigma_inv_norm8,I+II+V2,148.38210321268764,1,36
42,empirical_sigma_inv_norm8,I+II+V3,141.0097422510945,1,44
42,empirical_sigma_inv_norm8,I+II+V4,134.57354869957456,1,50
42,empirical_sigma_inv_norm8,I+II+V5,116.70296843395566,1,55
42,empirical_sigma_inv_norm8,I+II+V6,87.94908916112698,1,56
42,empirical_sigma_inv_norm8,I+V1+V2,149.29711644672477,2,34
42,empirical_sigma_inv_norm8,I+V1+V3,151.65163262684524,2,30
42,empirical_sigma_inv_norm8,I+V1+V4,153.70251328183642,2,27
42,empirical_sigma_inv_norm8,I+V1+V5,146.64822341759628,2,41
42,empirical_sigma_inv_norm8,I+V1+V6,135.00250753361405,2,49
42,empirical_sigma_inv_norm8,I+V2+V3,162.8043589346668,2,12
42,empirical_sigma_inv_norm8,I+V2+V4,169.40583985740443,2,5
42,empirical_sigma_inv_norm8,I+V2+V5,168.0602355331252,2,8
42,empirical_sigma_inv_norm8,I+V2+V6,161.29389049438183,2,14
42,empirical_sigma_inv_norm8,I+V3+V4,156.22176010064487,2,25
42,empirical_sigma_inv_norm8,I+V3+V5,160.2762343837175,2,18
42,empirical_sigma_inv_norm8,I+V3+V6,156.3532293421123,2,23
42,empirical_sigma_inv_norm8,I+V4+V5,148.24306735414453,2,38
42,empirical_sigma_inv_norm8,I+V4+V6,148.32738841042348,2,37
42,empirical_sigma_inv_norm8,I+V5+V6,127.92281314313125,2,51
42,empirical_sigma_inv_norm8,II+V1+V2,149.9121980046088,2,33
42,empirical_sigma_inv_norm8,II+V1+V3,147.8627967168641,2,39
42,empirical_sigma_inv_norm8,II+V1+V4,147.0544302970091,2,40
42,empirical_sigma_inv_norm8,II+V1+V5,139.4303813050768,2,48
42,empirical_sigma_inv_norm8,II+V1+V6,125.34795439766508,2,52
42,empirical_sigma_inv_norm8,II+V2+V3,150.9844478894233,2,31
42,empirical_sigma_inv_norm8,II+V2+V4,158.69666451276854,2,20
42,empirical_sigma_inv_norm8,II+V2+V5,160.7060118114832,2,16
42,empirical_sigma_inv_norm8,II+V2+V6,154.9460138039769,2,26
42,empirical_sigma_inv_norm8,II+V3+V4,144.71963445822772,2,42
42,empirical_sigma_inv_norm8,II+V3+V5,152.51200125453852,2,29
42,empirical_sigma_inv_norm8,II+V3+V6,149.02507653277962,2,35
42,empirical_sigma_inv_norm8,II+V4+V5,139.94714205491172,2,46
42,empirical_sigma_inv_norm8,II+V4+V6,139.87993735903268,2,47
42,empirical_sigma_inv_norm8,II+V5+V6,118.14425065952602,2,54
42,empirical_sigma_inv_norm8,V1+V2+V3,164.9102408318923,3,10
42,empirical_sigma_inv_norm8,V1+V2+V4,171.0975051523508,3,3
42,empirical_sigma_inv_norm8,V1+V2+V5,169.3895325982619,3,6
42,empirical_sigma_inv_norm8,V1+V2+V6,162.3279218997601,3,13
42,empirical_sigma_inv_norm8,V1+V3+V4,160.54693664375014,3,17
42,empirical_sigma_inv_norm8,V1+V3+V5,161.1577085084461,3,15
42,empirical_sigma_inv_norm8,V1+V3+V6,156.4748456148394,3,22
42,empirical_sigma_inv_norm8,V1+V4+V5,153.07982087298265,3,28
42,empirical_sigma_inv_norm8,V1+V4+V6,150.24534020584576,3,32
42,empirical_sigma_inv_norm8,V1+V5+V6,140.66052097761894,3,45
42,empirical_sigma_inv_norm8,V2+V3+V4,166.93170058836398,3,9
42,empirical_sigma_inv_norm8,V2+V3+V5,171.78356655254805,3,1
42,empirical_sigma_inv_norm8,V2+V3+V6,168.21038446558694,3,7
42,empirical_sigma_inv_norm8,V2+V4+V5,171.5106907908841,3,2
42,empirical_sigma_inv_norm8,V2+V4+V6,169.43036491008166,3,4
42,empirical_sigma_inv_norm8,V2+V5+V6,164.6528698524691,3,11
42,empirical_sigma_inv_norm8,V3+V4+V5,159.1654632823769,3,19
42,empirical_sigma_inv_norm8,V3+V4+V6,158.30287780878058,3,21
42,empirical_sigma_inv_norm8,V3+V5+V6,156.34310841535594,3,24
42,empirical_sigma_inv_norm8,V4+V5+V6,144.5313869826391,3,43
1,identity,I+II+V1,182.2782024598398,1,7
1,identity,I+II+V2,172.12735598693376,1,30
1,identity,I+II+V3,170.0552764891845,1,34
1,identity,I+II+V4,169.29482908754068,1,38
1,identity,I+II+V5,163.08457079669012,1,48
1,identity,I+II+V6,156.694724879214,1,53
1,identity,I+V1+V2,169.72869798494187,2,35
1,identity,I+V1+V3,181.41273007360996,2,13
1,identity,I+V1+V4,190.45671972942367,2,2
1,identity,I+V1+V5,191.93213821162965,2,1
1,identity,I+V1+V6,188.51406258545887,2,3
1,identity,I+V2+V3,167.55656389148825,2,41
1,identity,I+V2+V4,179.01313537825652,2,22
1,identity,I+V2+V5,183.28340372255167,2,6
1,identity,I+V2+V6,181.6625601233193,2,10
1,identity,I+V3+V4,171.80592465002783,2,31
1,identity,I+V3+V5,179.40199406833477,2,20
1,identity,I+V3+V6,180.42094710713062,2,16
1,identity,I+V4+V5,175.14410306766018,2,25
1,identity,I+V4+V6,179.55296031188115,2,19
1,identity,I+V5+V6,173.03083412311722,2,29
1,identity,II+V1+V2,173.89124077551745,2,26
1,identity,II+V1+V3,176.13831073073464,2,23
1,identity,II+V1+V4,181.55548096864453,2,11
1,identity,II+V1+V5,183.89336876387492,2,5
1,identity,II+V1+V6,179.89095398806117,2,18
1,identity,II+V2+V3,140.34008065219683,2,56
1,identity,II+V2+V4,157.5423176231888,2,52
1,identity,II+V2+V5,169.5726642725663,2,36
1,identity,II+V2+V6,170.46141401039029,2,33
1,identity,II+V3+V4,148.76570084451004,2,55
1,identity,II+V3+V5,165.04934223858993,2,47
1,identity,II+V3+V6,168.11676496824975,2,39
1,identity,II+V4+V5,160.0571499387944,2,51
1,identity,II+V4+V6,166.48179219124074,2,45
1,identity,II+V5+V6,160.34716293032076,2,50
1,identity,V1+V2+V3,167.6810278699829,3,40
1,identity,V1+V2+V4,181.01711792399487,3,14
1,identity,V1+V2+V5,184.76466862291608,3,4
1,identity,V1+V2+V6,182.0954969811698,3,8
1,identity,V1+V3+V4,176.01443887627357,3,24
1,identity,V1+V3+V5,180.3791464561624,3,17
1,identity,V1+V3+V6,179.130556495682,3,21
1,identity,V1+V4+V5,181.69881844605402,3,9
1,identity,V1+V4+V6,180.97035293886518,3,15
1,identity,V1+V5+V6,181.4494265250511,3,12
1,identity,V2+V3+V4,150.7414474252516,3,54
1,identity,V2+V3+V5,165.21219367830892,3,46
1,identity,V2+V3+V6,166.57851052645256,3,44
1,identity,V2+V4+V5,170.73244207559446,3,32
1,identity,V2+V4+V6,173.17790403801678,3,28
1,identity,V2+V5+V6,173.593424860566,3,27
1,identity,V3+V4+V5,163.0580921637756,3,49
1,identity,V3+V4+V6,167.05554876734246,3,43
1,identity,V3+V5+V6,169.55276893381472,3,37
1,identity,V4+V5+V6,167.11323689758567,3,42
1,empirical_sigma_inv,I+II+V1,151.8479034621406,1,55
1,empirical_sigma_inv,I+II+V2,164.83714175366256,1,46
1,empirical_sigma_inv,I+II+V3,162.09614623808125,1,51
1,empirical_sigma_inv,I+II+V4,164.61794255124016,1,47
1,empirical_sigma_inv,I+II+V5,156.64342702381572,1,53
1,empirical_sigma_inv,I+II+V6,141.50862794880786,1,56
1,empirical_sigma_inv,I+V1+V2,160.10775819128028,2,52
1,empirical_sigma_inv,I+V1+V3,170.9572415841183,2,43
1,empirical_sigma_inv,I+V1+V4,183.11742486256097,2,20
1,empirical_sigma_inv,I+V1+V5,182.43579758581228,2,24
1,empirical_sigma_inv,I+V1+V6,171.20823714093265,2,42
1,empirical_sigma_inv,I+V2+V3,174.54808089063735,2,36
1,empirical_sigma_inv,I+V2+V4,190.37811607681255,2,6
1,empirical_sigma_inv,I+V2+V5,193.22939340697224,2,2
1,empirical_sigma_inv,I+V2+V6,184.80527243815195,2,15
1,empirical_sigma_inv,I+V3+V4,180.93971143419185,2,27
1,empirical_sigma_inv,I+V3+V5,188.25649739015077,2,9
1,empirical_sigma_inv,I+V3+V6,182.85124910479092,2,21
1,empirical_sigma_inv,I+V4+V5,183.53681287692874,2,17
1,empirical_sigma_inv,I+V4+V6,182.799179064171,2,22
1,empirical_sigma_inv,I+V5+V6,173.2398972899747,2,40
1,empirical_sigma_inv,II+V1+V2,162.40194369868476,2,49
1,empirical_sigma_inv,II+V1+V3,165.0349449765978,2,45
1,empirical_sigma_inv,II+V1+V4,174.75889055982867,2,35
1,empirical_sigma_inv,II+V1+V5,174.99642823095655,2,34
1,empirical_sigma_inv,II+V1+V6,162.34639004435894,2,50
1,empirical_sigma_inv,II+V2+V3,152.6152950259945,2,54
1,empirical_sigma_inv,II+V2+V4,176.20614576389588,2,33
1,empirical_sigma_inv,II+V2+V5,184.2646248080578,2,16
1,empirical_sigma_inv,II+V2+V6,176.52209763771484,2,32
1,empirical_sigma_inv,II+V3+V4,165.55663074364523,2,44
1,empirical_sigma_inv,II+V3+V5,179.11344903473673,2,29
1,empirical_sigma_inv,II+V3+V6,173.81030824799373,2,38
1,empirical_sigma_inv,II+V4+V5,174.3034861185045,2,37
1,empirical_sigma_inv,II+V4+V6,173.4978003561781,2,39
1,empirical_sigma_inv,II+V5+V6,163.9619362692306,2,48
1,empirical_sigma_inv,V1+V2+V3,172.00792729622327,3,41
1,empirical_sigma_inv,V1+V2+V4,189.4397321208267,3,8
1,empirical_sigma_inv,V1+V2+V5,191.8276888745577,3,4
1,empirical_sigma_inv,V1+V2+V6,182.46372421043412,3,23
1,empirical_sigma_inv,V1+V3+V4,182.20965613508602,3,25
1,empirical_sigma_inv,V1+V3+V5,186.16140016658653,3,13
1,empirical_sigma_inv,V1+V3+V6,178.94074017506298,3,30
1,empirical_sigma_inv,V1+V4+V5,186.47885183663107,3,11
1,empirical_sigma_inv,V1+V4+V6,181.98253820463452,3,26
1,empirical_sigma_inv,V1+V5+V6,178.72383824361987,3,31
1,empirical_sigma_inv,V2+V3+V4,180.2721739619544,3,28
1,empirical_sigma_inv,V2+V3+V5,189.85414375430125,3,7
1,empirical_sigma_inv,V2+V3+V6,183.43072372301708,3,19
1,empirical_sigma_inv,V2+V4+V5,195.99808811991284,3,1
1,empirical_sigma_inv,V2+V4+V6,192.37989105764007,3,3
1,empirical_sigma_inv,V2+V5+V6,191.04930982522689,3,5
1,empirical_sigma_inv,V3+V4+V5,187.62106459233905,3,10
1,empirical_sigma_inv,V3+V4+V6,184.80652489675379,3,14
1,empirical_sigma_inv,V3+V5+V6,186.28773342334497,3,12
1,empirical_sigma_inv,V4+V5+V6,183.45331727333203,3,18
1,empirical_sigma_inv_norm8,I+II+V1,142.52587759580953,1,55
1,empirical_sigma_inv_norm8,I+II+V2,155.47117548355698,1,46
1,empirical_sigma_inv_norm8,I+II+V3,152.72542215168318,1,51
1,empirical_sigma_inv_norm8,I+II+V4,155.24243958303146,1,47
1,empirical_sigma_inv_norm8,I+II+V5,147.2977970300877,1,53
1,empirical_sigma_inv_norm8,I+II+V6,132.2411579415423,1,56
1,empirical_sigma_inv_norm8,I+V1+V2,150.7753469743691,2,52
1,empirical_sigma_inv_norm8,I+V1+V3,161.57745856274644,2,43
1,empirical_sigma_inv_norm8,I+V1+V4,173.7262236752066,2,20
1,empirical_sigma_inv_norm8,I+V1+V5,173.0538700292738,2,24
1,empirical_sigma_inv_norm8,I+V1+V6,161.85285516116645,2,42
1,empirical_sigma_inv_norm8,I+V2+V3,165.16253697941474,2,36
1,empirical_sigma_inv_norm8,I+V2+V4,180.9789832619504,2,6
1,empirical_sigma_inv_norm8,I+V2+V5,183.83089736941807,2,2
1,empirical_sigma_inv_norm8,I+V2+V6,175.41596176259856,2,15
1,empirical_sigma_inv_norm8,I+V3+V4,171.5429758421271,2,27
1,empirical_sigma_inv_norm8,I+V3+V5,178.8581261240447,2,9
1,empirical_sigma_inv_norm8,I+V3+V6,173.4597992687502,2,21
1,empirical_sigma_inv_norm8,I+V4+V5,174.14168515241812,2,17
1,empirical_sigma_inv_norm8,I+V4+V6,173.40725649635374,2,22
1,empirical_sigma_inv_norm8,I+V5+V6,163.8643492058087,2,40
1,empirical_sigma_inv_norm8,II+V1+V2,153.04103618768573,2,49
1,empirical_sigma_inv_norm8,II+V1+V3,155.6642374428257,2,45
1,empirical_sigma_inv_norm8,II+V1+V4,165.3762258853171,2,35
1,empirical_sigma_inv_norm8,II+V1+V5,165.62137527535066,2,34
1,empirical_sigma_inv_norm8,II+V1+V6,153.00073310747646,2,50
1,empirical_sigma_inv_norm8,II+V2+V3,143.28087656693472,2,54
1,empirical_sigma_inv_norm8,II+V2+V4,166.82638407708578,2,33
1,empirical_sigma_inv_norm8,II+V2+V5,174.87554746498944,2,16
1,empirical_sigma_inv_norm8,II+V2+V6,167.1423653502449,2,32
1,empirical_sigma_inv_norm8,II+V3+V4,156.18191530604193,2,44
1,empirical_sigma_inv_norm8,II+V3+V5,169.7245062438172,2,29
1,empirical_sigma_inv_norm8,II+V3+V6,164.42892614614487,2,38
1,empirical_sigma_inv_norm8,II+V4+V5,164.9170267926506,2,37
1,empirical_sigma_inv_norm8,II+V4+V6,164.1150527703161,2,39
1,empirical_sigma_inv_norm8,II+V5+V6,154.59631167073042,2,48
1,empirical_sigma_inv_norm8,V1+V2+V3,162.62830437119308,3,41
1,empirical_sigma_inv_norm8,V1+V2+V4,180.0431371540095,3,8
1,empirical_sigma_inv_norm8,V1+V2+V5,182.431792137187,3,4
1,empirical_sigma_inv_norm8,V1+V2+V6,173.07788030570987,3,23
1,empirical_sigma_inv_norm8,V1+V3+V4,172.82012215110103,3,25
1,empirical_sigma_inv_norm8,V1+V3+V5,176.77503829131683,3,13
1,empirical_sigma_inv_norm8,V1+V3+V6,169.5644131996879,3,30
1,empirical_sigma_inv_norm8,V1+V4+V5,177.11325902564843,3,11
1,empirical_sigma_inv_norm8,V1+V4+V6,172.62286934250085,3,26
1,empirical_sigma_inv_norm8,V1+V5+V6,169.37543963573438,3,31
1,empirical_sigma_inv_norm8,V2+V3+V4,170.90016967145328,3,28
1,empirical_sigma_inv_norm8,V2+V3+V5,180.46444131930227,3,7
1,empirical_sigma_inv_norm8,V2+V3+V6,174.04525378112703,3,19
1,empirical_sigma_inv_norm8,V2+V4+V5,186.60113122012532,3,1
1,empirical_sigma_inv_norm8,V2+V4+V6,182.98442034910255,3,3
1,empirical_sigma_inv_norm8,V2+V5+V6,181.67317785522988,3,5
1,empirical_sigma_inv_norm8,V3+V4+V5,178.23374011067546,3,10
1,empirical_sigma_inv_norm8,V3+V4+V6,175.422060489516,3,14
1,empirical_sigma_inv_norm8,V3+V5+V6,176.92481842127958,3,12
1,empirical_sigma_inv_norm8,V4+V5+V6,174.0841293487056,3,18
2,identity,I+II+V1,175.37468643929722,1,4
2,identity,I+II+V2,165.33964973776176,1,17
2,identity,I+II+V3,159.18498845665462,1,29
2,identity,I+II+V4,151.29184861378636,1,41
2,identity,I+II+V5,143.74017043515266,1,48
2,identity,I+II+V6,142.31506802538013,1,51
2,identity,I+V1+V2,164.05173018563522,2,21
2,identity,I+V1+V3,172.59374992040983,2,6
2,identity,I+V1+V4,178.25242936296004,2,2
2,identity,I+V1+V5,178.5091142734301,2,1
2,identity,I+V1+V6,176.91535551434342,2,3
2,identity,I+V2+V3,161.49403717369108,2,24
2,identity,I+V2+V4,168.1141422282861,2,16
2,identity,I+V2+V5,169.8236011655065,2,11
2,identity,I+V2+V6,169.51214777258798,2,12
2,identity,I+V3+V4,155.54224338539458,2,34
2,identity,I+V3+V5,161.06877503207338,2,25
2,identity,I+V3+V6,164.15177930363933,2,20
2,identity,I+V4+V5,147.55992054425113,2,44
2,identity,I+V4+V6,157.4955956984109,2,33
2,identity,I+V5+V6,148.87607096113885,2,43
2,identity,II+V1+V2,169.47779650882433,2,13
2,identity,II+V1+V3,169.20151701827828,2,14
2,identity,II+V1+V4,171.00985069108393,2,10
2,identity,II+V1+V5,171.535508325869,2,9
2,identity,II+V1+V6,169.16068672750194,2,15
2,identity,II+V2+V3,143.71535053951388,2,49
2,identity,II+V2+V4,151.29295114932495,2,40
2,identity,II+V2+V5,158.5111356738058,2,31
2,identity,II+V2+V6,160.58818614958375,2,26
2,identity,II+V3+V4,138.1317515646987,2,54
2,identity,II+V3+V5,149.5459136842435,2,42
2,identity,II+V3+V6,154.38072454944717,2,36
2,identity,II+V4+V5,136.3282278133096,2,55
2,identity,II+V4+V6,146.93549466979854,2,45
2,identity,II+V5+V6,138.91110548186606,2,52
2,identity,V1+V2+V3,162.46436165351827,3,23
2,identity,V1+V2+V4,172.4988668798357,3,7
2,identity,V1+V2+V5,173.6888046659961,3,5
2,identity,V1+V2+V6,171.64321610522998,3,8
2,identity,V1+V3+V4,163.84989168111775,3,22
2,identity,V1+V3+V5,165.26299720220015,3,18
2,identity,V1+V3+V6,164.74487244798485,3,19
2,identity,V1+V4+V5,159.47194084030738,3,28
2,identity,V1+V4+V6,160.48476666811683,3,27
2,identity,V1+V5+V6,158.72510486010216,3,30
2,identity,V2+V3+V4,144.9638324586237,3,47
2,identity,V2+V3+V5,153.04390838303343,3,39
2,identity,V2+V3+V6,154.82488358675815,3,35
2,identity,V2+V4+V5,153.91647274280686,3,37
2,identity,V2+V4+V6,157.69656536531133,3,32
2,identity,V2+V5+V6,153.73250450816715,3,38
2,identity,V3+V4+V5,138.86695754912495,3,53
2,identity,V3+V4+V6,145.2522146858007,3,46
2,identity,V3+V5+V6,143.44694192599079,3,50
2,identity,V4+V5+V6,129.68011008722655,3,56
2,empirical_sigma_inv,I+II+V1,144.9921118662906,1,51
2,empirical_sigma_inv,I+II+V2,162.58642194831953,1,29
2,empirical_sigma_inv,I+II+V3,154.70389100219987,1,43
2,empirical_sigma_inv,I+II+V4,141.50114839693794,1,53
2,empirical_sigma_inv,I+II+V5,131.8546109993642,1,55
2,empirical_sigma_inv,I+II+V6,124.61342289342808,1,56
2,empirical_sigma_inv,I+V1+V2,155.5034438603606,2,42
2,empirical_sigma_inv,I+V1+V3,163.24750004136664,2,28
2,empirical_sigma_inv,I+V1+V4,166.6751446314927,2,23
2,empirical_sigma_inv,I+V1+V5,163.88744590746,2,27
2,empirical_sigma_inv,I+V1+V6,157.21275013232548,2,39
2,empirical_sigma_inv,I+V2+V3,173.67416788186299,2,12
2,empirical_sigma_inv,I+V2+V4,182.05223181601113,2,1
2,empirical_sigma_inv,I+V2+V5,181.6530864707022,2,3
2,empirical_sigma_inv,I+V2+V6,175.70674577057335,2,8
2,empirical_sigma_inv,I+V3+V4,166.71952986194609,2,22
2,empirical_sigma_inv,I+V3+V5,170.87632818556497,2,16
2,empirical_sigma_inv,I+V3+V6,168.46286868011975,2,21
2,empirical_sigma_inv,I+V4+V5,153.47758154631939,2,45
2,empirical_sigma_inv,I+V4+V6,158.7017203948334,2,36
2,empirical_sigma_inv,I+V5+V6,146.32488812557276,2,49
2,empirical_sigma_inv,II+V1+V2,160.7999192464068,2,32
2,empirical_sigma_inv,II+V1+V3,159.45354580076537,2,34
2,empirical_sigma_inv,II+V1+V4,159.08972010161838,2,35
2,empirical_sigma_inv,II+V1+V5,156.3276851832558,2,41
2,empirical_sigma_inv,II+V1+V6,148.4969375026438,2,48
2,empirical_sigma_inv,II+V2+V3,158.63101485477046,2,37
2,empirical_sigma_inv,II+V2+V4,169.55200321789778,2,18
2,empirical_sigma_inv,II+V2+V5,173.1515938161596,2,14
2,empirical_sigma_inv,II+V2+V6,168.47164249097133,2,20
2,empirical_sigma_inv,II+V3+V4,153.5942414820727,2,44
2,empirical_sigma_inv,II+V3+V5,162.16445892881754,2,31
2,empirical_sigma_inv,II+V3+V6,160.36839514729698,2,33
2,empirical_sigma_inv,II+V4+V5,144.26129453086588,2,52
2,empirical_sigma_inv,II+V4+V6,149.2775404956333,2,47
2,empirical_sigma_inv,II+V5+V6,136.93762886754777,2,54
2,empirical_sigma_inv,V1+V2+V3,171.42855562211682,3,15
2,empirical_sigma_inv,V1+V2+V4,182.02295489664422,3,2
2,empirical_sigma_inv,V1+V2+V5,180.8989993387058,3,4
2,empirical_sigma_inv,V1+V2+V6,173.61495108764998,3,13
2,empirical_sigma_inv,V1+V3+V4,169.49904843419517,3,19
2,empirical_sigma_inv,V1+V3+V5,169.58154419432682,3,17
2,empirical_sigma_inv,V1+V3+V6,164.9217406457877,3,25
2,empirical_sigma_inv,V1+V4+V5,157.33515467072294,3,38
2,empirical_sigma_inv,V1+V4+V6,156.84674625398353,3,40
2,empirical_sigma_inv,V1+V5+V6,150.03374931517482,3,46
2,empirical_sigma_inv,V2+V3+V4,174.8070729487332,3,10
2,empirical_sigma_inv,V2+V3+V5,179.6075382396702,3,6
2,empirical_sigma_inv,V2+V3+V6,175.663904924133,3,9
2,empirical_sigma_inv,V2+V4+V5,180.6767934200201,3,5
2,empirical_sigma_inv,V2+V4+V6,179.49035352745233,3,7
2,empirical_sigma_inv,V2+V5+V6,173.84557443508643,3,11
2,empirical_sigma_inv,V3+V4+V5,164.82887013605912,3,26
2,empirical_sigma_inv,V3+V4+V6,165.178861270608,3,24
