convention,subclass,retained_pct,excluded_pct,n_retained_tags,n_excluded_tags
"dedup within record, all codes",AMI,40.253411306042885,52.7085124677558,3078,3489
"dedup within record, all codes",IMI,56.59519168291098,43.823445113212955,3078,3489
"dedup within record, all codes",LMI,2.9239766081871346,3.181427343078246,3078,3489
"dedup within record, all codes",PMI,0.22742040285899934,0.2866150759529951,3078,3489
"count every code, all codes",AMI,42.959057071960295,54.65787304204452,3224,3639
"count every code, all codes",IMI,54.03225806451613,42.017037647705415,3224,3639
"count every code, all codes",LMI,2.791563275434243,3.050288540807914,3224,3639
"count every code, all codes",PMI,0.21712158808933002,0.2748007694421544,3224,3639
"dedup, likelihood>=50",AMI,46.47006255585344,56.30096367679763,2238,2698
"dedup, likelihood>=50",IMI,50.759606791778374,40.993328391401036,2238,2698
"dedup, likelihood>=50",LMI,2.546916890080429,2.409191994069681,2238,2698
"dedup, likelihood>=50",PMI,0.22341376228775692,0.2965159377316531,2238,2698
"dedup, likelihood==100",AMI,51.392405063291136,60.94329623741388,1580,1887
"dedup, likelihood==100",IMI,46.962025316455694,37.20190779014308,1580,1887
"dedup, likelihood==100",LMI,1.5822784810126582,1.695813460519343,1580,1887
"dedup, likelihood==100",PMI,0.06329113924050633,0.1589825119236884,1580,1887
