index,name,group,physiological_meaning,bound_lo,bound_hi,bound_center,bound_radius,units,unit_short,ident_score_seed42,ident_score_5seed_mean,ident_score_5seed_sd,ident_score_5seed_min,ident_score_5seed_max,ident_score_5seed_cv,crb_12lead_seed42_scaled,crb_12lead_5seed_mean_scaled,crb_12lead_seed42_physical,crb_physical_unit,crb_units_note,strongest_coupling_partner,partner_corr_seed42,partner_abs_corr_seed42,partner_abs_corr_5seed_mean,partner_same_in_n_of_5_seeds,max_abs_fisher_corr_5seed_mean,clinical_interpretation_in_manuscript,interpreting_descriptor,tier_R1_group_mean_cv,tier_R2_min_across_seeds,tier_R3_per_param_cv,tier_R4_mean_only,tier_R5_min_and_cv,tier_recommended,one_sigma_pct_of_admissible_range_seed42,one_sigma_pct_of_admissible_range_5seed_mean,notes
0,delta_root,delta_root,Activation onset of the graph root (SA / atrial source) relative to the R peak; a global time origin for the whole activation sequence,-0.24,-0.12,-0.18,0.06,"s (seconds, physical parameter unit)",s,13.7208292742643,9.369689194413443,4.119480803980387,3.4300825384865603,13.7208292742643,0.4396603471582147,0.07288189219551522,0.1366747871081236,0.004372913531730913,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,edge_prox0,-0.5931832899826476,0.5931832899826476,0.8055839780619571,5,0.8055839780619571,no,"global time origin; cancels from every dispersion descriptor (D_act, Tend_disp, Sync_rep) and the beat is R-peak aligned",B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,3.644094609775761,6.8337393554061805,
1,edge_prox0,edge_prox,conduction delay on graph edge e0 (SA/atrium -> AV/His); carries the AV-nodal delay (PR-segment analogue),0.04,0.2,0.12000000000000001,0.08,"s (seconds, physical parameter unit)",s,9.992699947960896,9.267291284514705,3.8726732569577003,4.554419847519642,15.034322891432115,0.4178862127090784,0.10007305385008176,0.12581223269244687,0.008005844308006542,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,delta_root,-0.5931832899827318,0.5931832899827318,0.805583978061976,4,0.8198911441826999,negative example only,prox_delay = e0 + e1; manuscript reports it as seed-unstable (sign flip) and explicitly NOT claim-supporting,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,5.0036526925040885,6.290611634622343,
2,edge_prox1,edge_prox,conduction delay on graph edge e1 (AV/His -> septum); His-Purkinje entry into the septum,0.005,0.06,0.0325,0.0275,"s (seconds, physical parameter unit)",s,2.3188657407044717,8.932984331317524,7.3805938053350095,2.3188657407044717,18.122078702653354,0.8262181519181561,0.43124532069553967,0.20406863875551579,0.011859246319127341,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,edge_leaf2,-0.8388706969431646,0.8388706969431646,0.32404611075935225,1,0.6100951507794155,negative example only,prox_delay = e0 + e1; manuscript reports it as seed-unstable (sign flip) and explicitly NOT claim-supporting,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,21.562266034776982,10.20343193777579,per-parameter CV 82.6% - not seed-stable at the parameter level
3,edge_leaf0,edge_leaf,conduction delay on graph edge e2 (septum -> RV); fascicular / branch delay to that ventricular wall,0.005,0.07,0.037500000000000006,0.0325,"s (seconds, physical parameter unit)",s,3.349120265991452,27.788010305378755,16.018550424324435,3.349120265991452,42.85824669820107,0.5764554658029554,0.29858587347682675,0.08490167110784194,0.00970404088799687,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,edge_leaf2,0.9971667423844167,0.9971667423844167,0.7545002214291288,1,0.9466514217508399,indirect only,"enters D_act / leaf_delay_spread / vent_delta_spread, which are computed but not interpreted; conduction is interpreted via QRS duration measured on the reconstructed waveform instead",B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,A_strongly_identifiable,B_weakly_identifiable,B_weakly_identifiable,14.929293673841338,4.245083555392097,locked seed 42 is an outlier vs the five-seed distribution (3.35 vs 27.79+-16.02)
4,edge_leaf1,edge_leaf,conduction delay on graph edge e3 (septum -> LV-ant); fascicular / branch delay to that ventricular wall,0.005,0.07,0.037500000000000006,0.0325,"s (seconds, physical parameter unit)",s,3.37439279169126,30.31720468609418,20.09163613867728,3.37439279169126,54.91391148024043,0.6627140050247727,0.2963496136141269,0.08405006487351681,0.009631362442459126,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,edge_leaf2,0.9991927929275755,0.9991927929275755,0.84215951241268,1,0.9226511981633465,indirect only,"enters D_act / leaf_delay_spread / vent_delta_spread, which are computed but not interpreted; conduction is interpreted via QRS duration measured on the reconstructed waveform instead",B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,A_strongly_identifiable,B_weakly_identifiable,B_weakly_identifiable,14.817480680706346,4.2025032436758405,per-parameter CV 66.3% - not seed-stable at the parameter level
5,edge_leaf2,edge_leaf,conduction delay on graph edge e4 (septum -> LV-lat); fascicular / branch delay to that ventricular wall,0.005,0.07,0.037500000000000006,0.0325,"s (seconds, physical parameter unit)",s,3.381334505556021,30.75126665247904,20.329884165535713,3.381334505556021,56.4426302948187,0.6611072121120839,0.29574122239513884,0.08338931613694543,0.009611589727842013,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,edge_leaf4,0.9995581812381212,0.9995581812381212,0.7050969599810728,2,0.8618391803779311,indirect only,"enters D_act / leaf_delay_spread / vent_delta_spread, which are computed but not interpreted; conduction is interpreted via QRS duration measured on the reconstructed waveform instead",B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,A_strongly_identifiable,B_weakly_identifiable,B_weakly_identifiable,14.787061119756942,4.169465806847271,per-parameter CV 66.1% - not seed-stable at the parameter level
6,edge_leaf3,edge_leaf,conduction delay on graph edge e5 (septum -> LV-inf); fascicular / branch delay to that ventricular wall,0.005,0.07,0.037500000000000006,0.0325,"s (seconds, physical parameter unit)",s,3.368997252566708,23.384192094204728,14.342251119279783,3.368997252566708,42.87514292545095,0.613331051229014,0.29682422543922793,0.09021710091941305,0.009646787326774908,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,edge_leaf1,0.998310500197028,0.998310500197028,0.6354252139960058,1,0.7576991873728212,indirect only,"enters D_act / leaf_delay_spread / vent_delta_spread, which are computed but not interpreted; conduction is interpreted via QRS duration measured on the reconstructed waveform instead",B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,A_strongly_identifiable,B_weakly_identifiable,B_weakly_identifiable,14.841211271961397,4.5108550459706525,per-parameter CV 61.3% - not seed-stable at the parameter level
7,edge_leaf4,edge_leaf,conduction delay on graph edge e6 (septum -> apex); fascicular / branch delay to that ventricular wall,0.005,0.07,0.037500000000000006,0.0325,"s (seconds, physical parameter unit)",s,3.3676554418931435,27.46252209668545,16.414908178615907,3.3676554418931435,46.16438971952563,0.5977203448694568,0.29694249226335495,0.08524528308331418,0.009650630998559036,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,edge_leaf2,0.9995581812381212,0.9995581812381212,0.7050969599810728,1,0.8975206294111594,indirect only,"enters D_act / leaf_delay_spread / vent_delta_spread, which are computed but not interpreted; conduction is interpreted via QRS duration measured on the reconstructed waveform instead",B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,A_strongly_identifiable,B_weakly_identifiable,B_weakly_identifiable,14.847124613167747,4.262264154165709,
8,APD0,APD,Equivalent action-potential duration of node 0 (SA / atrial source (graph root)),0.08,0.18,0.13,0.049999999999999996,"s (seconds, physical parameter unit)",s,1.397803490657734,1.546459470262843,0.715218012803104,1.1272041728263495,2.812887203609879,0.46248739560018504,0.7154081433359791,0.7257806785800687,0.035770407166798954,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,q0,-0.5583312404870985,0.5583312404870985,0.3508019936303829,2,0.5279000568203539,no,atrial / AV-node APD; enters no interpreted descriptor (D_rep and mean_vent_APD are ventricular-only),A_strongly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,35.770407166798954,36.28903392900343,
9,APD1,APD,Equivalent action-potential duration of node 1 (AV node - His entry),0.08,0.18,0.13,0.049999999999999996,"s (seconds, physical parameter unit)",s,2.9325904262093885,2.891383394393264,0.7114617224961721,1.9282839657046995,3.797684095725439,0.24606274071981632,0.34099545271058573,0.3648376734321541,0.017049772635529287,s,scaled = standard deviation in units of the parameter's own bound radius (half-width); physical = scaled x bound_radius,edge_prox0,-0.508506735079599,0.508506735079599,0.29348117242970484,1,0.44560767039694166,no,atrial / AV-node APD; enters no interpreted descriptor (D_rep and mean_vent_APD are ventricular-only),A_strongly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,B_weakly_identifiable,17.049772635529287,18.241883671607706,
